Local Date,Local Time,Close,Net,%Chg,Open,Low,High,Volume
2025-03-31 04:27:00,2025-03-31 04:27:00,412.87,0.00999999999999091,2.42212856658211e-05,412.84,412.84,412.92,1434.0
2025-03-31 04:29:00,2025-03-31 04:29:00,412.67,-0.199999999999989,-0.000484413980187441,412.67,412.67,412.67,2.0
2025-03-31 04:30:00,2025-03-31 04:30:00,412.62,-0.0500000000000114,-0.000121162187704489,412.62,412.55,412.62,505.0
2025-03-31 04:31:00,2025-03-31 04:31:00,412.57,-0.0500000000000114,-0.000121176869759128,412.57,412.57,412.57,50.0
2025-03-31 04:32:00,2025-03-31 04:32:00,412.541,-0.0289999999999964,-7.02911021159957e-05,412.55,412.541,412.59,861.0
2025-03-31 04:33:00,2025-03-31 04:33:00,412.5,-0.0409999999999968,-9.9384061220574e-05,412.56,412.5,412.56,231.0
2025-03-31 04:34:00,2025-03-31 04:34:00,412.22,-0.279999999999973,-0.000678787878787813,412.4,412.22,412.4,212.0
2025-03-31 04:35:00,2025-03-31 04:35:00,412.38,0.159999999999968,0.000388142254136064,412.35,412.35,412.38,502.0
2025-03-31 04:36:00,2025-03-31 04:36:00,412.49,0.110000000000014,0.000266744264998336,412.53,412.49,412.53,166.0
2025-03-31 04:38:00,2025-03-31 04:38:00,412.61,0.120000000000005,0.00029091614342167,412.51,412.51,412.61,631.0
2025-03-31 04:39:00,2025-03-31 04:39:00,412.54,-0.0699999999999932,-0.000169651729235824,412.6,412.54,412.63,603.0
2025-03-31 04:40:00,2025-03-31 04:40:00,412.61,0.0699999999999932,0.000169680515828752,412.631,412.58,412.631,392.0
2025-03-31 04:41:00,2025-03-31 04:41:00,412.65,0.0399999999999636,9.69438452775348e-05,412.65,412.63,412.67,1496.0
2025-03-31 04:42:00,2025-03-31 04:42:00,412.86,0.210000000000036,0.000508905852417391,412.79,412.79,412.86,1006.0
2025-03-31 04:44:00,2025-03-31 04:44:00,412.67,-0.189999999999998,-0.000460204427651014,412.67,412.67,412.67,3.0
2025-03-31 04:45:00,2025-03-31 04:45:00,412.63,-0.0400000000000205,-9.69297501636185e-05,412.63,412.63,412.63,1.0
2025-03-31 04:46:00,2025-03-31 04:46:00,412.6,-0.0299999999999727,-7.27043598380455e-05,412.6,412.6,412.6,1.0
2025-03-31 04:47:00,2025-03-31 04:47:00,412.76,0.159999999999968,0.00038778477944733,412.67,412.67,412.76,287.0
2025-03-31 04:48:00,2025-03-31 04:48:00,412.73,-0.0299999999999727,-7.26814613818508e-05,412.73,412.73,412.73,646.0
2025-03-31 04:49:00,2025-03-31 04:49:00,412.73,0.0,0.0,412.73,412.73,412.73,2.0
2025-03-31 04:50:00,2025-03-31 04:50:00,412.84,0.109999999999957,0.000266518062655869,412.73,412.73,412.84,332.0
2025-03-31 04:51:00,2025-03-31 04:51:00,412.87,0.0300000000000296,7.26673771922041e-05,412.87,412.87,412.87,3.0
2025-03-31 04:52:00,2025-03-31 04:52:00,412.76,-0.110000000000014,-0.000266427689103141,412.76,412.76,412.76,100.0
2025-03-31 04:53:00,2025-03-31 04:53:00,412.861,0.100999999999999,0.000244694253319118,412.861,412.861,412.861,100.0
2025-03-31 04:54:00,2025-03-31 04:54:00,412.9,0.0389999999999873,9.44627852957467e-05,412.9,412.9,412.9,20.0
2025-03-31 04:56:00,2025-03-31 04:56:00,412.82,-0.0799999999999841,-0.000193751513683662,412.8,412.79,412.85,672.0
2025-03-31 04:57:00,2025-03-31 04:57:00,412.8,-0.0199999999999818,-4.84472651518381e-05,412.85,412.8,412.85,733.0
2025-03-31 04:58:00,2025-03-31 04:58:00,412.82,0.0199999999999818,4.84496124030567e-05,412.82,412.8,412.82,604.0
2025-03-31 04:59:00,2025-03-31 04:59:00,412.8,-0.0199999999999818,-4.84472651518381e-05,412.84,412.8,412.84,425.0
2025-03-31 05:00:00,2025-03-31 05:00:00,412.8,0.0,0.0,412.8,412.8,412.8,20.0
2025-03-31 05:01:00,2025-03-31 05:01:00,412.76,-0.0400000000000205,-9.68992248062511e-05,413.1,412.3604,414.3,3834.0
2025-03-31 05:02:00,2025-03-31 05:02:00,412.82,0.0600000000000023,0.000145362922763839,412.96,412.54,413.89,1837.0
2025-03-31 05:03:00,2025-03-31 05:03:00,412.84,0.0199999999999818,4.84472651518381e-05,412.7904,412.7904,412.84,15.0
2025-03-31 05:04:00,2025-03-31 05:04:00,412.601,-0.238999999999976,-0.000578916771630598,412.72,412.57,413.88,366.0
2025-03-31 05:05:00,2025-03-31 05:05:00,412.58,-0.021000000000015,-5.08966289466458e-05,412.65,412.58,412.65,484.0
2025-03-31 05:06:00,2025-03-31 05:06:00,412.84,0.259999999999991,0.000630180813417982,415.62,412.68,415.62,908.0
2025-03-31 05:07:00,2025-03-31 05:07:00,412.8,-0.0399999999999636,-9.68898362560886e-05,412.8,412.8,412.8,405.0
2025-03-31 05:08:00,2025-03-31 05:08:00,412.65,-0.150000000000034,-0.000363372093023338,412.63,412.59,412.65,988.0
2025-03-31 05:09:00,2025-03-31 05:09:00,412.73,0.0800000000000409,0.000193868896159072,412.71,412.71,412.74,2800.0
2025-03-31 05:10:00,2025-03-31 05:10:00,412.72,-0.00999999999999091,-2.42289147868847e-05,412.73,412.72,412.79,2140.0
2025-03-31 05:11:00,2025-03-31 05:11:00,412.75,0.0299999999999727,7.26885055242603e-05,412.72,412.72,412.76,1843.0
2025-03-31 05:13:00,2025-03-31 05:13:00,412.56,-0.189999999999998,-0.000460327074500297,412.57,412.56,412.6,504.0
2025-03-31 05:14:00,2025-03-31 05:14:00,412.57,0.00999999999999091,2.42388985844263e-05,412.5989,412.51,412.5989,1137.0
2025-03-31 05:15:00,2025-03-31 05:15:00,412.53,-0.0400000000000205,-9.69532442979869e-05,412.54,412.53,412.54,120.0
2025-03-31 05:16:00,2025-03-31 05:16:00,412.43,-0.0999999999999659,-0.000242406612852316,412.53,412.43,412.53,21.0
2025-03-31 05:17:00,2025-03-31 05:17:00,412.41,-0.0199999999999818,-4.84930776131266e-05,412.4106,412.41,412.4106,70.0
2025-03-31 05:18:00,2025-03-31 05:18:00,412.4,-0.0100000000000477,-2.42477146530097e-05,412.4,412.4,412.4,1.0
2025-03-31 05:19:00,2025-03-31 05:19:00,412.4,0.0,0.0,412.42,412.4,412.42,103.0
2025-03-31 05:20:00,2025-03-31 05:20:00,412.43,0.0300000000000296,7.27449078565217e-05,412.4,412.4,412.44,2603.0
2025-03-31 05:21:00,2025-03-31 05:21:00,412.4398,0.00979999999998427,2.37616080304155e-05,412.38,412.38,412.4398,12.0
2025-03-31 05:22:00,2025-03-31 05:22:00,412.39,-0.0498000000000047,-0.00012074489416396,412.41,412.38,412.41,2505.0
2025-03-31 05:23:00,2025-03-31 05:23:00,412.44,0.0500000000000114,0.0001212444530663,412.4,412.4,412.44,350.0
2025-03-31 05:24:00,2025-03-31 05:24:00,412.59,0.149999999999977,0.000363689263892875,412.46,412.46,412.6,2170.0
2025-03-31 05:25:00,2025-03-31 05:25:00,412.6112,0.0212000000000216,5.13827286168391e-05,412.59,412.59,412.65,4206.0
2025-03-31 05:26:00,2025-03-31 05:26:00,412.67,0.0588000000000193,0.000142507038102745,412.67,412.67,412.67,10.0
2025-03-31 05:27:00,2025-03-31 05:27:00,412.84,0.169999999999959,0.000411951438195069,412.77,412.77,412.84,1815.0
2025-03-31 05:28:00,2025-03-31 05:28:00,412.93,0.0900000000000318,0.000218002131576475,412.8517,412.8517,412.96,871.0
2025-03-31 05:29:00,2025-03-31 05:29:00,412.88,-0.0500000000000114,-0.000121085898336307,412.851,412.851,412.88,152.0
2025-03-31 05:30:00,2025-03-31 05:30:00,412.95,0.0699999999999932,0.000169540786669234,412.87,412.87,412.99,53.0
2025-03-31 05:31:00,2025-03-31 05:31:00,412.92,-0.0299999999999727,-7.26480203413796e-05,412.92,412.92,412.92,1.0
2025-03-31 05:32:00,2025-03-31 05:32:00,412.93,0.00999999999999091,2.4217766153228e-05,412.87,412.831,412.93,45.0
2025-03-31 05:33:00,2025-03-31 05:33:00,413.0,0.0699999999999932,0.000169520257670775,413.0,412.95,413.01,22.0
2025-03-31 05:34:00,2025-03-31 05:34:00,413.01,0.00999999999999091,2.42130750605107e-05,413.02,412.99,413.02,405.0
2025-03-31 05:35:00,2025-03-31 05:35:00,413.025,0.0149999999999864,3.63187332025529e-05,413.0,413.0,413.07,14.0
2025-03-31 05:36:00,2025-03-31 05:36:00,413.04,0.0150000000000432,3.63174142002135e-05,413.001,413.001,413.05,5.0
2025-03-31 05:37:00,2025-03-31 05:37:00,413.01,-0.0300000000000296,-7.26321905869397e-05,413.04,413.0089,413.04,107.0
2025-03-31 05:38:00,2025-03-31 05:38:00,412.98,-0.0299999999999727,-7.26374664051057e-05,412.965,412.965,412.98,2.0
2025-03-31 05:39:00,2025-03-31 05:39:00,413.15,0.169999999999959,0.000411642210276428,413.1099,413.05,413.15,64.0
2025-03-31 05:40:00,2025-03-31 05:40:00,413.0803,-0.0696999999999548,-0.000168703860583214,413.0401,413.03,413.101,310.0
2025-03-31 05:41:00,2025-03-31 05:41:00,413.09,0.00969999999995252,2.34821171572513e-05,413.09,413.09,413.09,400.0
2025-03-31 05:42:00,2025-03-31 05:42:00,412.94,-0.149999999999977,-0.000363116996296152,412.98,412.94,412.98,110.0
2025-03-31 05:43:00,2025-03-31 05:43:00,413.015,0.0749999999999886,0.000181624449072477,413.0,413.0,413.015,21.0
2025-03-31 05:44:00,2025-03-31 05:44:00,413.07,0.0550000000000068,0.000133167076256327,413.07,413.07,413.07,12.0
2025-03-31 05:45:00,2025-03-31 05:45:00,413.06,-0.00999999999999091,-2.42089718449437e-05,413.06,413.06,413.06,1.0
2025-03-31 05:46:00,2025-03-31 05:46:00,413.15,0.089999999999975,0.000217886021401189,413.08,413.05,413.15,924.0
2025-03-31 05:47:00,2025-03-31 05:47:00,413.07,-0.0799999999999841,-0.00019363427326633,413.06,413.06,413.07,2.0
2025-03-31 05:48:00,2025-03-31 05:48:00,412.9812,-0.088799999999992,-0.000214975669983276,412.9812,412.9812,412.9812,1.0
2025-03-31 05:49:00,2025-03-31 05:49:00,413.095,0.113800000000026,0.000275557337719068,413.03,412.98,413.095,60.0
2025-03-31 05:51:00,2025-03-31 05:51:00,413.06,-0.035000000000025,-8.47262736175093e-05,413.02,413.02,413.06,465.0
2025-03-31 05:52:00,2025-03-31 05:52:00,412.95,-0.110000000000014,-0.000266305137268227,413.08,412.95,413.08,39.0
2025-03-31 05:53:00,2025-03-31 05:53:00,412.99,0.0400000000000205,9.68640271219771e-05,412.99,412.99,412.99,1.0
2025-03-31 05:54:00,2025-03-31 05:54:00,412.92,-0.0699999999999932,-0.00016949562943411,412.99,412.92,412.99,205.0
2025-03-31 05:55:00,2025-03-31 05:55:00,412.9783,0.0582999999999743,0.000141189576673385,412.95,412.93,412.9783,19.0
2025-03-31 05:56:00,2025-03-31 05:56:00,412.9717,-0.00659999999999172,-1.59814692442478e-05,412.91,412.91,412.9717,54.0
2025-03-31 05:57:00,2025-03-31 05:57:00,413.02,0.0482999999999834,0.000116957166798556,412.97,412.96,413.02,425.0
2025-03-31 05:58:00,2025-03-31 05:58:00,413.0,-0.0199999999999818,-4.84238051425641e-05,413.01,413.0,413.05,156.0
2025-03-31 05:59:00,2025-03-31 05:59:00,413.125,0.125,0.000302663438256659,413.09,413.08,413.2,763.0
2025-03-31 06:00:00,2025-03-31 06:00:00,413.18,0.0550000000000068,0.000133131618759472,413.17,413.17,413.18,75.0
2025-03-31 06:01:00,2025-03-31 06:01:00,413.2212,0.0412000000000035,9.97144101844316e-05,413.17,413.11,413.28,2857.0
2025-03-31 06:02:00,2025-03-31 06:02:00,413.13,-0.0912000000000148,-0.000220705036430887,413.2,413.11,413.2,242.0
2025-03-31 06:03:00,2025-03-31 06:03:00,412.9102,-0.219800000000021,-0.00053203592089662,413.05,412.9102,413.05,475.0
